utc,jdut,x_km,y_km,z_km
2026-Apr-04 04:11:00.0000,2461134.674305555,-99177.21544489356,-202840.6706061701,-19174.09261126906
2026-Apr-04 04:12:00.0000,2461134.675,-99194.38857230623,-202918.6985412869,-19181.0965297573
2026-Apr-04 04:13:00.0000,2461134.675694444,-99211.54979543922,-202996.7014648499,-19188.09809358222
2026-Apr-04 04:14:00.0000,2461134.676388889,-99228.69912499058,-203074.6793930096,-19195.09730432443
2026-Apr-04 04:15:00.0000,2461134.677083333,-99245.83657164288,-203152.6323418955,-19202.09416356264
2026-Apr-04 04:16:00.0000,2461134.677777778,-99262.96214606319,-203230.5603276156,-19209.08867287314
2026-Apr-04 04:17:00.0000,2461134.678472222,-99280.07585890286,-203308.463366257,-19216.08083383043
2026-Apr-04 04:18:00.0000,2461134.679166667,-99297.1777207978,-203386.3414738856,-19223.07064800682
2026-Apr-04 04:19:00.0000,2461134.679861111,-99314.26774236854,-203464.1946665464,-19230.05811697258
2026-Apr-04 04:20:00.0000,2461134.680555556,-99331.34593421988,-203542.0229602633,-19237.04324229577
2026-Apr-04 04:21:00.0000,2461134.68125,-99348.41230694158,-203619.8263710394,-19244.02602554258
2026-Apr-04 04:22:00.0000,2461134.681944444,-99365.4668711078,-203697.6049148568,-19251.00646827696
2026-Apr-04 04:23:00.0000,2461134.682638889,-99382.50963727736,-203775.3586076765,-19257.98457206096
2026-Apr-04 04:24:00.0000,2461134.683333333,-99399.54061599384,-203853.087465439,-19264.9603384545
2026-Apr-04 04:25:00.0000,2461134.684027778,-99416.55981778548,-203930.791504064,-19271.93376901539
2026-Apr-04 04:26:00.0000,2461134.684722222,-99433.56725316524,-204008.4707394501,-19278.90486529941
2026-Apr-04 04:27:00.0000,2461134.685416667,-99450.562932631,-204086.1251874755,-19285.87362886035
2026-Apr-04 04:28:00.0000,2461134.686111111,-99467.54686666532,-204163.7548639976,-19292.84006124994
2026-Apr-04 04:29:00.0000,2461134.686805556,-99484.5190657356,-204241.3597848532,-19299.80416401787
2026-Apr-04 04:30:00.0000,2461134.6875,-99501.47954029412,-204318.9399658585,-19306.76593871175
2026-Apr-04 04:31:00.0000,2461134.688194444,-99518.42830077825,-204396.4954228089,-19313.72538687722
2026-Apr-04 04:32:00.0000,2461134.688888889,-99535.36535761005,-204474.0261714799,-19320.68251005783
2026-Apr-04 04:33:00.0000,2461134.689583333,-99552.29072119671,-204551.5322276258,-19327.63730979523
2026-Apr-04 04:34:00.0000,2461134.690277778,-99569.20440193039,-204629.0136069807,-19334.58978762895
2026-Apr-04 04:35:00.0000,2461134.690972222,-99586.10641018822,-204706.4703252584,-19341.53994509652
2026-Apr-04 04:36:00.0000,2461134.691666667,-99602.99675633249,-204783.9023981524,-19348.48778373339
2026-Apr-04 04:37:00.0000,2461134.692361111,-99619.87545071053,-204861.3098413356,-19355.43330507315
2026-Apr-04 04:38:00.0000,2461134.693055556,-99636.74250365488,-204938.6926704609,-19362.37651064726
2026-Apr-04 04:39:00.0000,2461134.69375,-99653.59792548306,-205016.0509011605,-19369.31740198529
2026-Apr-04 04:40:00.0000,2461134.694444444,-99670.44172649799,-205093.3845490468,-19376.25598061479
2026-Apr-04 04:41:00.0000,2461134.695138889,-99687.27391698764,-205170.693629712,-19383.19224806114
2026-Apr-04 04:42:00.0000,2461134.695833333,-99704.0945072254,-205247.9781587278,-19390.12620584806
2026-Apr-04 04:43:00.0000,2461134.696527778,-99720.90350746977,-205325.2381516462,-19397.05785549697
2026-Apr-04 04:44:00.0000,2461134.697222222,-99737.70092796467,-205402.4736239987,-19403.98719852752
2026-Apr-04 04:45:00.0000,2461134.697916667,-99754.4867789394,-205479.6845912975,-19410.91423645717
2026-Apr-04 04:46:00.0000,2461134.698611111,-99771.26107060863,-205556.8710690338,-19417.83897080173
2026-Apr-04 04:47:00.0000,2461134.699305556,-99788.02381317226,-205634.0330726796,-19424.76140307475
2026-Apr-04 04:48:00.0000,2461134.7,-99804.77501681584,-205711.1706176866,-19431.68153478797
2026-Apr-04 04:49:00.0000,2461134.700694445,-99821.51469171022,-205788.2837194869,-19438.59936745105
2026-Apr-04 04:50:00.0000,2461134.701388889,-99838.24284801193,-205865.3723934926,-19445.51490257177
2026-Apr-04 04:51:00.0000,2461134.702083333,-99854.95949586287,-205942.4366550959,-19452.428141656
2026-Apr-04 04:52:00.0000,2461134.702777778,-99871.66464539053,-206019.4765196694,-19459.33908620749
2026-Apr-04 04:53:00.0000,2461134.703472222,-99888.35830670805,-206096.4920025658,-19466.24773772826
2026-Apr-04 04:54:00.0000,2461134.704166667,-99905.04048991416,-206173.4831191181,-19473.15409771835
2026-Apr-04 04:55:00.0000,2461134.704861111,-99921.71120509328,-206250.44988464,-19480.05816767558
2026-Apr-04 04:56:00.0000,2461134.705555555,-99938.37046231535,-206327.3923144249,-19486.95994909618
2026-Apr-04 04:57:00.0000,2461134.70625,-99955.01827163613,-206404.3104237472,-19493.85944347436
2026-Apr-04 04:58:00.0000,2461134.706944444,-99971.65464306412,-206481.2042277087,-19500.75665228839
2026-Apr-04 04:59:00.0000,2461134.707638889,-99988.27958669269,-206558.0737418502,-19507.65157705637
2026-Apr-04 05:00:00.0000,2461134.708333333,-100004.8931125018,-206634.9189812343,-19514.54421925268
2026-Apr-04 05:01:00.0000,2461134.709027778,-100021.4952304902,-206711.7399610574,-19521.43458036389
